SampleName,Actinobacteria,Bacteroidetes,Candidatus_Saccharibacteria,Chloroflexi,Deinococcus-Thermus,Firmicutes,Fusobacteria,Lentisphaerae,Proteobacteria,Spirochaetes,Synergistetes,Tenericutes,Unclassified_Bacteria,Verrucomicrobia
DRR171576,0.00598026026535311,0.009449765757059077,0.0,0.0,2.465085574274456e-05,0.34321518539841794,0.35128527519791974,0.0,0.2867303778110206,0.0,0.0,0.0,0.0019570867466927443,0.0
DRR171578,0.020558422068685047,0.8383304710148671,0.0,0.0,0.0,0.13118788119631908,1.2089285662817635e-05,0.0,0.00854740192585466,0.0,0.0,0.0,0.00011184042420677676,0.0001041614622134933
DRR171580,0.0999586547789736,0.5711093123159469,5.7790078526971486e-05,0.0,0.0,0.2834799663664294,0.01735543965299331,3.0367918979773432e-05,0.026126374495132797,0.0,1.0738927289118537e-05,0.0,0.00037970173417595086,0.0
DRR171581,0.0523968821690878,0.692991467172966,0.00015827180044190878,0.0,0.0,0.24367606033375808,0.001293556552739166,0.0,0.007952984773183656,1.3350408913587035e-05,7.856164020977215e-05,0.0,1.0795873291542336e-05,8.848007658729497e-05
DRR171585,0.033153461870908965,0.2823978441649518,0.0,0.0,0.0,0.668191914431684,3.38033202587663e-05,0.00011618500683914336,0.008963755279266081,0.00014820468212225154,7.614722887980442e-05,0.0,0.00031436980834366143,0.0053109405679622815
DRR171586,0.0831422416246929,0.38977158710598403,1.89350350795636e-05,0.0,0.0,0.49935333246366986,0.0,5.199672898546319e-05,0.024871931557591407,1.4282107214334356e-05,1.5110436549747492e-05,0.0,6.0137307978228176e-05,0.0012964804220662834
DRR171587,0.3595537179678536,0.281561095107179,1.2014716030731845e-05,0.0,0.0,0.3352505155467036,0.0,0.0,0.02254083494298568,1.0646440112448794e-05,0.0,0.0,1.192189052474791e-05,0.0
DRR171588,0.0039001034664411,0.6462946953238045,0.0,0.0,0.0,0.28810345119097164,4.231308942077442e-05,0.0,0.05902604493028578,0.0,0.0010903488252056702,0.0,0.0,0.0
DRR171589,0.05722914636439175,0.47232020336244207,6.268302431283726e-05,0.0,0.0,0.3656231563643791,0.05173960704978975,0.0,0.05129432537121383,2.545679149582593e-05,0.0,0.0,1.971437980588225e-05,0.0
DRR171591,0.003928186629054454,0.6306286627760369,1.949622097660983e-05,0.0,0.0,0.35825903303650086,0.0,0.0,0.005207984739887919,0.0,5.728236503052903e-05,0.0,0.0003209920520312695,8.897368145230985e-05
DRR171592,0.016676629008835167,0.7869932992661252,0.0,0.0,0.0,0.15638602133166232,0.015527034637665438,0.0,0.023256817226738384,0.0,0.0,0.0,0.0001654598236646172,5.201021509349595e-05
