SampleName,Actinobacteria,Aquificae,Bacteroidetes,Candidatus_Saccharibacteria,Chlorobi,Chloroflexi,Cyanobacteria,Deinococcus-Thermus,Dictyoglomi,Elusimicrobia,Firmicutes,Fusobacteria,Lentisphaerae,Planctomycetes,Proteobacteria,Spirochaetes,Synergistetes,Tenericutes,Thermotogae,Unclassified_Bacteria,Verrucomicrobia
ERR011228,0.0020407434356993098,0.0,0.49152441220688775,1.0668987802366e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.48797600261452123,5.708553370108773e-05,0.0001472419891641243,0.0,0.009112133537780058,6.308066810523208e-05,0.0,0.0018163593166544837,0.0,0.0025319471735186613,0.0002697543517249448
ERR011230,0.020017948707930444,0.0,0.49392900354387725,1.7671098117351948e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.45062792391984635,0.0,0.001022410703360908,0.0,0.01255254648619058,0.00022330581331771843,0.00014863264761175,0.00029941285760031096,0.0,0.0041709634017905685,0.013472782452581617
ERR011231,0.0034161866244722607,0.0,0.4530321889048981,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5213459264766999,4.3989387255278445e-05,0.00028209189455548583,0.0,0.0072945534060141455,0.0002996717188706488,4.0485879237786855e-05,0.0004458295469054026,0.0,0.009025814906040559,0.0023578507891755677
ERR011232,0.0040267069489896,0.0,0.5513155213485685,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4216610330493193,0.0,3.1408403982884344e-05,0.0,0.014549712575047358,5.160620820017664e-05,0.0,0.0,0.0,0.005794445140286835,0.0006477553648726221
ERR011233,0.00021047166430770628,0.0,0.5128301276082784,0.0,0.0,0.0,1.5696560882125453e-05,0.0,0.0,0.0,0.4657353548164341,7.619308747359077e-05,0.0,0.0,0.0016299736744669223,9.994321732273532e-05,0.0,6.751226345897e-05,0.0,0.01779865755367652,0.00022020858605278576
ERR011234,0.0038547842979461473,0.0,0.6064565063586919,2.7883224904284802e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.37759368131553434,5.945045831940433e-05,0.0,0.0,0.00456178723000661,5.3340482577902885e-05,0.0,0.0,0.0,0.003986455000090542,0.0014533825993865582
ERR011235,0.000380695502357844,0.0,0.6181081209381933,1.6910804643173745e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.3695631268686875,9.647452348934983e-05,0.0,0.0,0.0011337715729830727,5.8066497761336593e-05,1.3706862841805187e-05,0.0,0.0,0.008860222404016231,0.0003185875571551808
ERR011236,0.02366742223529646,0.0,0.3759811948842231,2.0342362410464505e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.5834944986810885,0.0,0.0,0.0,0.013622934530206203,2.884779199128334e-05,0.0,1.4844481802895212e-05,0.0,0.0005794232062656077,0.0
ERR011237,0.009957812816559962,0.0,0.3166755472977169,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6606248188690181,1.0878227568864972e-05,0.0,0.0,0.008851534329398157,4.5109203660000815e-05,0.0,6.9663801086179e-05,0.0,0.0013062013201958385,0.0
ERR011238,0.001352241091720387,1.4757109318597665e-05,0.2465731855144663,3.846107628174641e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.7352410038795456,0.0002812482716525397,0.0,0.0,0.0022320233942266735,0.0001059351848717374,0.0,0.0004957387814230823,0.0,0.011513608867176558,0.0
